point_id,patch_label,patch_source,center_nucleus_label,sigma,rho,beta,mle_median_ref,mle_median_r5,mle_median_r10,mle_median_r20,mle_delta,mle_sign_stability,class_v3_3bis,stable_under_renorm,bounded_frac_ref,pos_lyap_frac_ref
P0235,POS_BEST,best_positive_B,NEG3,10.7467,104.75,2.5321,-0.0015377878165672,1.4656546885570825,-0.0015377878165672,1.0395222376247029,1.4671924763736497,0.6666666666666666,BORDER,False,1.0,0.5
P0297,NEG_NEG1,preferred_negative_NEG1,NEG1,9.50165,99.5,2.4464500000000005,-0.0040545036716181,0.479540644173703,-0.0040545036716181,1.0751675234323796,1.0792220271039978,0.6666666666666666,BORDER,False,1.0,0.5
P0429,NEG_NEG3,preferred_negative_NEG3,NEG3,10.65,103.0,2.57855,0.0060055450101562,1.7363272353265926,0.0060055450101562,0.7136095844180084,1.7303216903164365,0.6666666666666666,BORDER,False,1.0,0.5
P0485,NEG_NEG3,preferred_negative_NEG3,NEG3,10.7467,103.25,2.6070999999999995,-0.0065990637702725,0.5940994891032332,-0.0065990637702725,0.7301921196543684,0.736791183424641,0.6666666666666666,BORDER,False,1.0,0.5
P0050,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.104046000000002,102.351308,2.619952,-0.010640989654254,0.1943880820293118,-0.010640989654254,0.2600297724272304,0.2706707620814845,0.6666666666666666,BORDER,False,1.0,0.5
P0490,NEG_NEG3,preferred_negative_NEG3,NEG3,10.7467,103.5,2.6070999999999995,-0.0111270568213377,1.458596586816704,-0.0111270568213377,0.6956961410462095,1.4697236436380416,0.6666666666666666,BORDER,False,1.0,0.25
P0271,NEG_NEG1,preferred_negative_NEG1,NEG1,9.453300000000002,99.5,2.4179000000000004,-0.0124080481968015,0.0290709710953521,-0.0124080481968015,0.0791838911596402,0.0915919393564418,0.6666666666666666,BORDER,False,1.0,0.5
P0463,NEG_NEG3,preferred_negative_NEG3,NEG3,10.69835,103.5,2.55,0.0126984544027786,0.1730243774216264,0.0126984544027786,-0.0877478463364735,0.2607722237580999,1.0,BORDER,False,1.0,0.5
P0313,NEG_NEG1,preferred_negative_NEG1,NEG1,9.55,99.0,2.475,-0.0156418462562494,0.4451240643035132,-0.0156418462562494,0.1121149286978783,0.4607659105597627,0.6666666666666666,BORDER,False,1.0,0.5
P0210,POS_BEST,best_positive_B,NEG3,10.69835,104.75,2.5321,-0.0170016292163801,0.196206742932183,-0.0170016292163801,-0.0225495371691984,0.2187562801013815,0.6666666666666666,BORDER,False,1.0,0.25
P0020,B_CENTER_EMPIRICAL,empirical_mean_of_B,GLOBAL,10.055696000000005,102.101308,2.619952,0.0179758710168306,0.2076592130161423,0.0179758710168306,-0.0172549117872318,0.2249141248033742,0.6666666666666666,BORDER,False,1.0,0.625
P0230,POS_BEST,best_positive_B,NEG3,10.7467,104.5,2.5321,-0.0187566887430976,0.153912036028835,-0.0187566887430976,0.0491026690304893,0.1726687247719326,0.6666666666666666,BORDER,False,1.0,0.375
P0374,NEG_NEG1,preferred_negative_NEG1,NEG1,9.6467,99.5,2.50355,0.0200349143167633,1.0220888925748877,0.0200349143167633,0.5556946745662503,1.0020539782581244,0.6666666666666666,BORDER,False,1.0,0.5
P0498,NEG_NEG3,preferred_negative_NEG3,NEG3,10.7467,104.0,2.55,0.0251832561239558,0.06045170484816,0.0251832561239558,0.112261066754988,0.0870778106310322,0.6666666666666666,BORDER,False,1.0,0.625
P0442,NEG_NEG3,preferred_negative_NEG3,NEG3,10.65,103.75,2.52145,0.0269103016921019,0.0147345022165233,0.0269103016921019,0.1912340341782007,0.1764995319616774,0.6666666666666666,BORDER,False,1.0,0.5
P0172,POS_BEST,best_positive_B,NEG3,10.60165,105.5,2.4464500000000005,0.0288879278927858,0.1506230369951439,0.0288879278927858,0.725997176632807,0.6971092487400211,0.6666666666666666,BORDER,False,1.0,0.625
P0214,POS_BEST,best_positive_B,NEG3,10.69835,105.0,2.50355,-0.0325880413528541,-0.0294874223786756,-0.0325880413528541,0.0501076920166329,0.0826957333694871,0.6666666666666666,BORDER,False,1.0,0.25
P0360,NEG_NEG1,preferred_negative_NEG1,NEG1,9.6467,98.75,2.5321,0.0328151179044605,0.0280045604895932,0.0328151179044605,0.1877869474499278,0.1597823869603346,0.6666666666666666,BORDER,False,1.0,0.625
P0447,NEG_NEG3,preferred_negative_NEG3,NEG3,10.65,104.0,2.52145,0.0351360368503834,0.0463427408293821,0.0351360368503834,0.159915096813467,0.1247790599630836,0.6666666666666666,BORDER,False,1.0,0.75
P0223,POS_BEST,best_positive_B,NEG3,10.69835,105.5,2.475,0.0363536895357307,0.012980678044671,0.0363536895357307,0.2816558828782218,0.2686752048335508,0.6666666666666666,BORDER,False,1.0,0.75
P0188,POS_BEST,best_positive_B,NEG3,10.65,105.0,2.475,0.0400159527885722,0.2382465031752293,0.0400159527885722,0.0332467282202832,0.204999774954946,0.6666666666666666,BORDER,False,1.0,0.5
P0218,POS_BEST,best_positive_B,NEG3,10.69835,105.25,2.475,0.0449191676819046,0.0986184983444695,0.0449191676819046,0.1134481225723262,0.0685289548904216,0.6666666666666666,BORDER,False,1.0,0.625
P0183,POS_BEST,best_positive_B,NEG3,10.65,104.75,2.475,0.0455679232715872,0.1030378697024857,0.0455679232715872,1.208091355304278,1.1625234320326907,0.6666666666666666,BORDER,False,1.0,0.5
P0364,NEG_NEG1,preferred_negative_NEG1,NEG1,9.6467,99.0,2.50355,0.0465949087335471,0.1943314677877102,0.0465949087335471,0.1721942887171051,0.1477365590541631,0.6666666666666666,BORDER,False,1.0,0.875
P0421,NEG_NEG3,preferred_negative_NEG3,NEG3,10.60165,104.0,2.4929,0.0470277954650224,0.2461439728215649,0.0470277954650224,0.4600549327820949,0.4130271373170724,0.6666666666666666,BORDER,False,1.0,0.625
